                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2582,                 1.8584,                 1.8561,                0.45214,                0.63163,                0.52465,                0.39064,                  1.033,                 1.6075,                 1.7718,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.2799,                  1.861,                 1.8412,                  0.484,                0.70032,                0.58517,                0.44505,                0.92626,                 1.5016,                 1.6198,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.2544,                 1.8491,                 1.8219,                0.40863,                0.72318,                0.54239,                0.43104,                 0.8829,                 1.5849,                 1.5955,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.2091,                 1.8195,                 1.7837,                0.49194,                0.66139,                0.54069,                0.39427,                0.90551,                 1.6198,                 1.6105,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.2856,                 1.9033,                 1.8774,                0.48012,                0.63321,                0.56646,                0.43198,                0.91137,                 2.0967,                 1.5127,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.2279,                 1.8174,                 1.8104,                0.47476,                0.64296,                0.57487,                0.48229,                0.76528,                 1.6406,                 1.4995,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.2294,                 1.7938,                   1.78,                0.48836,                0.67507,                0.56341,                0.44194,                0.87437,                 1.4913,                 1.5004,               0.000755,               0.000755,               0.000755
                     42,                 1.2099,                 1.8074,                 1.7684,                 0.4473,                   0.75,                0.54529,                0.41359,                 1.0161,                 1.5359,                 1.5935,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.1576,                 1.7092,                 1.7216,                0.36047,                0.69926,                0.42465,                0.32087,                0.87032,                 1.9907,                 1.5049,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.1728,                 1.8394,                 1.7358,                0.37624,                0.73613,                0.56377,                0.45902,                0.74975,                  1.543,                 1.4617,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.1226,                 1.6746,                 1.6863,                0.39326,                  0.775,                0.59305,                0.47896,                0.86442,                 1.4874,                 1.4906,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.1811,                 1.7901,                 1.7295,                0.45859,                0.79729,                0.60231,                 0.4512,                0.97574,                 1.5386,                 1.5062,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.1312,                 1.6837,                 1.6803,                0.47758,                  0.825,                0.57982,                0.46082,                0.74815,                  1.367,                 1.4161,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.1048,                 1.6858,                 1.6712,                0.44393,                0.86459,                0.58156,                0.47309,                0.73973,                 1.4939,                 1.4548,             0.00066838,             0.00066838,             0.00066838
                     49,                 1.0987,                  1.671,                 1.6874,                0.53543,                0.67452,                 0.5668,                0.46101,                0.76794,                 1.4442,                 1.3973,               0.000656,               0.000656,               0.000656
                     50,                 1.0864,                 1.6451,                 1.6929,                0.40358,                0.82487,                0.57307,                0.48524,                0.69084,                 1.4509,                 1.3648,             0.00064362,             0.00064362,             0.00064362
                     51,                  1.058,                 1.6115,                 1.6285,                0.43143,                 0.7218,                0.54696,                0.44875,                0.74786,                 1.4552,                 1.4853,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.1102,                 1.6686,                 1.6936,                0.41144,                0.82105,                0.59874,                0.50794,                0.64707,                 1.3935,                 1.2895,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.0694,                 1.5991,                 1.5923,                0.49269,                0.78528,                0.57882,                0.48041,                 0.8081,                 1.2998,                 1.3293,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.0176,                 1.5577,                 1.5824,                0.55847,                0.72946,                0.65326,                0.55274,                0.66321,                 1.2741,                 1.2657,             0.00059413,             0.00059413,             0.00059413
                     55,                  1.081,                 1.5676,                 1.6463,                0.53436,                0.69984,                0.66735,                0.57664,                0.60072,                 1.2526,                 1.2847,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.0356,                 1.4964,                 1.5965,                0.45443,                    0.8,                0.64027,                0.53138,                 0.6928,                 1.3655,                 1.3687,             0.00056938,             0.00056938,             0.00056938
                     57,                0.96489,                 1.6102,                 1.5264,                0.54625,                    0.7,                0.70325,                0.62757,                0.57589,                 1.2615,                  1.245,               0.000557,               0.000557,               0.000557
                     58,                0.99869,                  1.506,                 1.6005,                0.46689,                    0.7,                0.63604,                0.54811,                 0.6499,                 1.3643,                 1.2856,             0.00054463,             0.00054463,             0.00054463
                     59,                 0.9163,                 1.4556,                 1.5085,                0.37674,                   0.75,                 0.5672,                0.48918,                0.64482,                 1.5895,                 1.2999,             0.00053225,             0.00053225,             0.00053225
                     60,                 0.9829,                    1.5,                 1.5338,                0.46289,                  0.775,                0.68131,                0.59587,                0.57151,                 1.2626,                 1.2674,             0.00051988,             0.00051988,             0.00051988
                     61,                 0.9614,                 1.5395,                 1.5345,                0.53404,                0.82147,                0.72362,                0.63118,                0.56893,                 1.1559,                 1.2452,              0.0005075,              0.0005075,              0.0005075
                     62,                 0.9721,                 1.4828,                 1.5304,                0.50215,                0.76135,                0.68729,                0.62409,                0.51955,                 1.2503,                 1.2773,             0.00049513,             0.00049513,             0.00049513
                     63,                0.93034,                 1.4723,                 1.5396,                0.53597,                0.83338,                0.66605,                0.58251,                0.55598,                 1.2913,                 1.2925,             0.00048275,             0.00048275,             0.00048275
                     64,                0.97208,                 1.5015,                 1.5171,                0.53777,                0.76015,                0.64749,                0.55124,                0.59562,                 1.3275,                 1.2381,             0.00047038,             0.00047038,             0.00047038
                     65,                0.91737,                 1.4422,                 1.4838,                0.48143,                  0.875,                 0.7457,                0.63052,                0.59654,                 1.1864,                 1.2411,               0.000458,               0.000458,               0.000458
                     66,                0.90462,                 1.4095,                 1.4674,                0.50526,                0.74952,                0.71661,                0.62694,                0.58239,                 1.1861,                  1.258,             0.00044563,             0.00044563,             0.00044563
                     67,                0.98472,                 1.4628,                 1.5409,                0.50793,                0.79694,                0.68406,                0.58172,                0.63311,                 1.3176,                 1.2706,             0.00043325,             0.00043325,             0.00043325
                     68,                0.90935,                 1.3855,                 1.5008,                0.42069,                0.93505,                0.69026,                0.58934,                 0.5838,                 1.1973,                 1.2937,             0.00042087,             0.00042087,             0.00042087
