                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2458,                 1.8453,                 1.8745,                0.38182,                  0.725,                0.50498,                  0.387,                0.81725,                 1.6604,                 1.5426,              0.0011139,              0.0011139,              0.0011139
                     35,                 1.2718,                 1.8485,                 1.8975,                0.48621,                0.66749,                0.60389,                0.41918,                0.95934,                 1.6516,                 1.6438,              0.0011098,              0.0011098,              0.0011098
                     36,                 1.2353,                 1.7354,                 1.8634,                 0.5071,                 0.7077,                0.63219,                 0.4617,                0.85938,                 1.3338,                 1.5866,              0.0011056,              0.0011056,              0.0011056
                     37,                 1.2821,                 1.7629,                 1.8821,                0.43572,                0.78947,                0.64083,                0.46047,                 1.0442,                 1.5714,                 1.6472,              0.0011015,              0.0011015,              0.0011015
                     38,                 1.2399,                 1.7488,                 1.8743,                0.52957,                0.78604,                0.63563,                0.46947,                0.92989,                 1.4054,                 1.6144,              0.0010974,              0.0010974,              0.0010974
                     39,                 1.2736,                 1.7282,                 1.8572,                0.51093,                0.76057,                0.67288,                0.47313,                0.92601,                 1.4048,                 1.6006,              0.0010933,              0.0010933,              0.0010933
                     40,                 1.2805,                 1.7265,                 1.8442,                0.36063,                   0.75,                0.47083,                0.34242,                 0.9418,                 1.6281,                 1.5793,              0.0010891,              0.0010891,              0.0010891
                     41,                 1.2004,                 1.6816,                  1.784,                0.51706,                0.81819,                0.63742,                0.48126,                0.80208,                 1.3324,                 1.4618,               0.001085,               0.001085,               0.001085
                     42,                 1.1674,                 1.6937,                 1.7479,                0.42107,                  0.775,                0.55169,                0.43935,                0.70264,                  1.373,                 1.3877,              0.0010809,              0.0010809,              0.0010809
                     43,                 1.2085,                   1.71,                 1.8056,                0.59614,                0.67205,                0.68781,                0.52143,                0.77398,                 1.3279,                 1.4869,              0.0010768,              0.0010768,              0.0010768
                     44,                 1.1777,                 1.6231,                 1.7383,                0.44838,                0.79084,                0.64189,                0.50163,                0.75241,                 1.4281,                 1.4453,              0.0010726,              0.0010726,              0.0010726
                     45,                 1.1408,                 1.6233,                 1.7625,                0.42361,                0.85388,                0.74008,                0.57641,                0.74759,                 1.4002,                  1.451,              0.0010685,              0.0010685,              0.0010685
                     46,                 1.1176,                 1.5824,                 1.7345,                0.52826,                0.71269,                0.70321,                0.54711,                0.75965,                 1.2884,                 1.4043,              0.0010644,              0.0010644,              0.0010644
                     47,                  1.141,                 1.5324,                  1.737,                0.54758,                0.84189,                0.75899,                0.60555,                0.69169,                  1.216,                 1.3894,              0.0010603,              0.0010603,              0.0010603
                     48,                 1.1325,                 1.5692,                   1.73,                0.46968,                  0.725,                0.63287,                0.48995,                0.78847,                 1.5124,                 1.4717,              0.0010561,              0.0010561,              0.0010561
                     49,                 1.1234,                 1.5609,                 1.7493,                0.44421,                0.65552,                0.58079,                0.43215,                0.92077,                 1.5662,                 1.6049,               0.001052,               0.001052,               0.001052
                     50,                 1.1114,                 1.5334,                 1.7074,                0.54506,                0.80698,                0.72281,                0.57409,                0.74833,                 1.2654,                 1.4405,              0.0010479,              0.0010479,              0.0010479
                     51,                 1.1236,                 1.5303,                 1.7193,                0.68434,                0.84387,                0.79782,                0.64936,                0.68333,                 1.1956,                 1.3447,              0.0010438,              0.0010438,              0.0010438
                     52,                 1.0679,                 1.5258,                 1.6763,                0.53991,                    0.9,                0.74788,                0.58835,                0.75021,                 1.1363,                 1.4204,              0.0010396,              0.0010396,              0.0010396
                     53,                 1.1005,                 1.5438,                  1.687,                0.48053,                0.79737,                0.64548,                0.52467,                0.70142,                 1.5077,                 1.3729,              0.0010355,              0.0010355,              0.0010355
                     54,                 1.0652,                 1.4976,                 1.6794,                0.49969,                0.78118,                0.72765,                0.61846,                0.64552,                 1.1732,                 1.3233,              0.0010314,              0.0010314,              0.0010314
                     55,                 1.1389,                 1.5297,                 1.6783,                 0.6262,                0.78059,                0.76789,                0.61811,                 0.6566,                 1.0179,                 1.3574,              0.0010273,              0.0010273,              0.0010273
