                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.94466,                 2.4417,                 2.3596,                0.43072,                0.64314,                0.60366,                 0.4582,                0.80847,                 2.4075,                 2.2186,             0.00086246,             0.00086246,             0.00086246
                     36,                0.94053,                 2.3978,                 2.3461,                0.52209,                0.60929,                0.59397,                0.46996,                0.73501,                 2.0177,                 1.9668,             0.00085515,             0.00085515,             0.00085515
                     37,                0.93952,                 2.4497,                 2.2895,                0.46102,                0.64242,                0.59331,                0.46178,                0.69633,                 1.9607,                 1.8149,             0.00084784,             0.00084784,             0.00084784
                     38,                 0.8619,                 2.3121,                 2.2279,                0.59366,                0.57613,                0.63053,                0.45977,                0.81534,                 2.2526,                 1.9854,             0.00084053,             0.00084053,             0.00084053
                     39,                0.89873,                 2.3178,                 2.2917,                0.47892,                0.70082,                0.63253,                0.48941,                0.69641,                 2.0032,                 1.8612,             0.00083322,             0.00083322,             0.00083322
                     40,                0.89213,                 2.3016,                 2.1998,                0.58465,                0.65027,                0.68463,                0.53243,                0.75751,                 1.9295,                 1.9429,             0.00082591,             0.00082591,             0.00082591
                     41,                0.92528,                 2.2529,                 2.2495,                0.58632,                0.69622,                0.68292,                0.56451,                0.66126,                 1.8904,                  1.816,              0.0008186,              0.0008186,              0.0008186
                     42,                0.85051,                 2.2133,                  2.205,                0.47393,                0.66131,                0.58899,                 0.4668,                0.69039,                 2.1443,                 1.8481,             0.00081129,             0.00081129,             0.00081129
                     43,                 0.8587,                 2.2411,                 2.1783,                0.60938,                0.68134,                0.66656,                0.52023,                0.73709,                 2.1162,                 1.9789,             0.00080398,             0.00080398,             0.00080398
                     44,                0.87836,                 2.2334,                 2.1883,                0.67534,                0.67412,                0.70358,                0.58336,                0.78685,                 2.0615,                 1.9619,             0.00079667,             0.00079667,             0.00079667
                     45,                0.81483,                 2.1775,                 2.1326,                0.61828,                0.70258,                0.67304,                0.50276,                0.79057,                 1.9758,                 1.9347,             0.00078936,             0.00078936,             0.00078936
                     46,                 0.7972,                 2.1007,                  2.101,                0.56867,                0.74588,                0.67832,                0.53694,                0.70712,                 2.1463,                 1.7607,             0.00078205,             0.00078205,             0.00078205
                     47,                0.84855,                 2.0905,                 2.1726,                 0.7347,                0.60588,                0.73347,                0.60239,                0.74818,                 2.0133,                 1.8875,             0.00077474,             0.00077474,             0.00077474
                     48,                 0.7755,                 2.0661,                  2.061,                 0.4344,                0.71059,                0.64237,                0.52947,                0.65516,                 2.2994,                 1.7727,             0.00076743,             0.00076743,             0.00076743
                     49,                0.76952,                 2.0411,                 2.0651,                0.56685,                0.78588,                 0.6935,                0.58433,                0.69133,                 1.8976,                 1.8191,             0.00076012,             0.00076012,             0.00076012
                     50,                0.75968,                 2.0564,                 2.0432,                0.50263,                0.68118,                0.68986,                0.56405,                0.67299,                 1.9443,                 1.8091,             0.00075281,             0.00075281,             0.00075281
                     51,                0.79953,                   2.04,                 2.0917,                0.54924,                0.68676,                0.69857,                0.55602,                0.71009,                 1.8677,                 1.8854,              0.0007455,              0.0007455,              0.0007455
                     52,                 0.7747,                 1.9539,                 2.0249,                0.63156,                0.65557,                0.70762,                0.57206,                0.67555,                 1.9539,                 1.8623,             0.00073819,             0.00073819,             0.00073819
