                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3143,                 1.7881,                 1.9244,                0.37199,                 0.7354,                0.52439,                0.36817,                 1.0058,                 1.5912,                 1.7299,              0.0011098,              0.0011098,              0.0011098
                     36,                 1.2896,                 1.7805,                 1.8927,                0.36584,                0.84549,                0.56605,                0.42757,                0.80402,                  1.683,                 1.5448,              0.0011056,              0.0011056,              0.0011056
                     37,                 1.2578,                 1.7548,                 1.8522,                0.42165,                0.72075,                0.57227,                 0.4479,                0.81568,                 1.6008,                 1.4998,              0.0011015,              0.0011015,              0.0011015
                     38,                 1.2355,                 1.7344,                 1.8407,                0.54129,                   0.65,                0.60159,                 0.4514,                0.78406,                 1.4248,                 1.5283,              0.0010974,              0.0010974,              0.0010974
                     39,                 1.2929,                 1.7891,                 1.9045,                0.45713,                0.72316,                0.60975,                 0.4794,                0.81499,                 1.5102,                 1.5388,              0.0010933,              0.0010933,              0.0010933
                     40,                  1.234,                 1.7266,                 1.8219,                0.40248,                 0.7123,                0.51113,                0.40176,                0.83846,                 1.4845,                 1.5321,              0.0010891,              0.0010891,              0.0010891
                     41,                 1.1699,                 1.7228,                 1.7836,                 0.3872,                0.82016,                0.55078,                0.40152,                0.98516,                 1.4449,                 1.6472,               0.001085,               0.001085,               0.001085
                     42,                 1.1659,                 1.7061,                 1.8047,                0.42767,                  0.725,                0.51653,                0.39946,                0.79823,                  1.492,                 1.5427,              0.0010809,              0.0010809,              0.0010809
                     43,                 1.1563,                  1.645,                 1.7649,                0.28256,                  0.775,                0.51705,                0.39248,                 0.9256,                 1.7694,                 1.6007,              0.0010768,              0.0010768,              0.0010768
                     44,                 1.1988,                 1.6926,                 1.7797,                0.39073,                0.77631,                0.59485,                0.47831,                0.75705,                 1.4254,                 1.4725,              0.0010726,              0.0010726,              0.0010726
                     45,                 1.1642,                 1.5925,                 1.7524,                0.40674,                0.74126,                0.52095,                0.40239,                0.69536,                 1.8325,                 1.4118,              0.0010685,              0.0010685,              0.0010685
                     46,                 1.1243,                 1.6595,                 1.7304,                0.40403,                0.73263,                0.52535,                 0.3929,                0.85492,                  1.693,                 1.4474,              0.0010644,              0.0010644,              0.0010644
                     47,                 1.1068,                 1.6042,                 1.6839,                0.50096,                    0.8,                0.62867,                0.50506,                0.63123,                 1.2734,                 1.3709,              0.0010603,              0.0010603,              0.0010603
                     48,                 1.1406,                  1.625,                 1.7473,                0.45428,                0.81382,                0.59861,                0.47011,                0.70658,                 1.3494,                  1.389,              0.0010561,              0.0010561,              0.0010561
                     49,                 1.1172,                 1.5871,                 1.6942,                0.33248,                0.69421,                0.44306,                0.33813,                0.77063,                 1.7574,                 1.4419,               0.001052,               0.001052,               0.001052
                     50,                 1.1383,                 1.5691,                 1.7407,                0.57078,                0.65947,                 0.6437,                0.46003,                0.92487,                 1.5632,                 1.5267,              0.0010479,              0.0010479,              0.0010479
                     51,                 1.1073,                 1.5653,                 1.6672,                0.39232,                0.76349,                0.61281,                0.49089,                0.76546,                 1.4118,                 1.3784,              0.0010438,              0.0010438,              0.0010438
                     52,                 1.1304,                  1.654,                 1.7465,                0.52072,                0.79933,                0.70877,                0.56767,                0.69482,                 1.2453,                 1.3911,              0.0010396,              0.0010396,              0.0010396
                     53,                 1.1016,                 1.5829,                  1.636,                0.37217,                0.87983,                 0.6274,                0.50362,                0.67827,                 1.4083,                 1.3991,              0.0010355,              0.0010355,              0.0010355
                     54,                 1.0055,                 1.5025,                 1.6138,                0.58118,                0.60901,                0.63432,                0.52735,                0.71412,                 1.2393,                 1.3698,              0.0010314,              0.0010314,              0.0010314
                     55,                 1.1104,                 1.4726,                 1.6844,                0.41843,                 0.7295,                0.58082,                 0.4906,                0.58634,                 1.5054,                 1.3503,              0.0010273,              0.0010273,              0.0010273
                     56,                 1.0498,                  1.456,                 1.6203,                0.43083,                0.73459,                0.57301,                0.48671,                0.56609,                 1.3291,                 1.2891,              0.0010231,              0.0010231,              0.0010231
                     57,                0.95159,                 1.5243,                 1.5358,                 0.3819,                0.84105,                0.57156,                0.47742,                0.60051,                 1.3286,                 1.2719,               0.001019,               0.001019,               0.001019
                     58,                0.96962,                 1.4603,                 1.6002,                0.43034,                0.78089,                0.63829,                0.54289,                0.60121,                 1.2696,                  1.304,              0.0010149,              0.0010149,              0.0010149
                     59,                0.89478,                 1.3821,                 1.5162,                0.34566,                  0.825,                 0.5855,                0.50696,                0.51278,                 1.3673,                 1.2367,              0.0010107,              0.0010107,              0.0010107
                     60,                 0.9984,                  1.484,                  1.568,                  0.348,                  0.925,                0.58601,                0.45371,                0.77252,                 1.3446,                 1.3924,              0.0010066,              0.0010066,              0.0010066
                     61,                0.99614,                 1.4864,                 1.5657,                0.51524,                0.71956,                0.69958,                0.57875,                0.71442,                 1.2371,                 1.3437,              0.0010025,              0.0010025,              0.0010025
                     62,                 1.0563,                 1.4837,                 1.6275,                0.41973,                0.80415,                0.64457,                0.56196,                0.51163,                 1.3803,                 1.2294,             0.00099837,             0.00099837,             0.00099837
                     63,                0.95649,                 1.4261,                 1.5845,                 0.4411,                  0.675,                0.61447,                0.46351,                0.88158,                 1.7836,                 1.5065,             0.00099425,             0.00099425,             0.00099425
                     64,                 1.0377,                 1.5179,                 1.6007,                0.41955,                0.81099,                0.62909,                 0.4959,                0.66141,                 1.4211,                  1.307,             0.00099013,             0.00099013,             0.00099013
                     65,                0.95013,                 1.3547,                 1.5205,                0.50499,                0.89784,                  0.673,                0.57634,                0.55463,                 1.1505,                  1.231,               0.000986,               0.000986,               0.000986
                     66,                0.94209,                 1.3657,                 1.5091,                0.59453,                0.77118,                0.67379,                0.57766,                 0.5578,                 1.1595,                 1.2235,             0.00098187,             0.00098187,             0.00098187
                     67,                0.99705,                 1.4306,                 1.5714,                0.54448,                  0.775,                 0.6689,                 0.5535,                0.65892,                 1.1774,                 1.2641,             0.00097775,             0.00097775,             0.00097775
                     68,                0.95735,                 1.3542,                 1.5329,                0.49915,                 0.7886,                0.69521,                0.55304,                0.69925,                 1.2569,                 1.3537,             0.00097362,             0.00097362,             0.00097362
                     69,                0.97443,                 1.3674,                 1.5293,                0.54141,                0.76207,                0.73526,                0.60479,                0.63277,                 1.1555,                 1.3029,              0.0009695,              0.0009695,              0.0009695
                     70,                0.94234,                 1.3114,                 1.5115,                 0.6203,                0.81577,                0.72229,                0.59284,                0.64197,                 1.1723,                 1.3181,             0.00096537,             0.00096537,             0.00096537
                     71,                0.91489,                 1.3285,                 1.4712,                0.49141,                 0.8451,                0.63684,                0.52981,                0.55504,                 1.1935,                 1.2574,             0.00096125,             0.00096125,             0.00096125
                     72,                0.93121,                 1.3373,                 1.5054,                0.46778,                  0.825,                0.73308,                 0.6211,                0.53459,                 1.2057,                 1.2096,             0.00095712,             0.00095712,             0.00095712
                     73,                0.95325,                 1.3348,                 1.5237,                0.41825,                  0.875,                0.66631,                0.57423,                0.57917,                 1.3135,                 1.2496,               0.000953,               0.000953,               0.000953
                     74,                 0.8919,                 1.2571,                 1.4893,                 0.6298,                0.73869,                0.73436,                 0.6311,                0.49847,                 1.0776,                 1.1742,             0.00094887,             0.00094887,             0.00094887
