                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1595,                 1.9022,                 1.7659,                0.32598,                0.81852,                0.47462,                 0.3727,                 1.0363,                 1.7007,                 1.6752,             0.00098635,             0.00098635,             0.00098635
                     36,                  1.104,                 1.9034,                 1.7485,                0.41721,                0.63968,                0.57269,                0.44095,                  1.152,                 1.5077,                 1.7347,             0.00098268,             0.00098268,             0.00098268
                     37,                 1.1413,                 1.8568,                 1.7321,                0.41534,                0.74161,                0.52829,                 0.4206,                0.96741,                 1.5042,                 1.6822,             0.00097901,             0.00097901,             0.00097901
                     38,                 1.0571,                 1.8087,                  1.676,                 0.4127,                0.74376,                0.57359,                0.44904,                0.96769,                 1.4853,                 1.6277,             0.00097535,             0.00097535,             0.00097535
                     39,                 1.0774,                 1.7989,                 1.7114,                0.40472,                0.64628,                0.59475,                0.46266,                 0.9474,                 1.6038,                 1.5541,             0.00097168,             0.00097168,             0.00097168
                     40,                 1.0277,                  1.719,                 1.6678,                0.59269,                0.66907,                0.57526,                0.45107,                0.99025,                 1.5486,                 1.6397,             0.00096801,             0.00096801,             0.00096801
                     41,                 1.0652,                 1.7474,                 1.6644,                 0.4725,                0.67481,                 0.5553,                0.42014,                0.98151,                 1.5111,                 1.6808,             0.00096435,             0.00096435,             0.00096435
                     42,                 1.0691,                 1.7189,                  1.646,                0.44016,                0.68409,                0.59048,                0.46222,                0.92968,                 1.5167,                 1.6021,             0.00096068,             0.00096068,             0.00096068
                     43,                 1.0657,                 1.7092,                 1.6511,                0.40775,                0.66941,                0.55024,                0.42785,                 0.9407,                 1.5106,                 1.5891,             0.00095702,             0.00095702,             0.00095702
                     44,                 1.0597,                 1.7434,                 1.6798,                0.40275,                0.86856,                0.58023,                0.48906,                0.84507,                 1.5724,                 1.4851,             0.00095335,             0.00095335,             0.00095335
                     45,                 1.0319,                 1.6709,                  1.613,                0.57538,                0.65794,                0.63512,                0.53316,                0.84713,                 1.3649,                 1.4978,             0.00094968,             0.00094968,             0.00094968
                     46,                0.99258,                 1.6349,                 1.5692,                 0.4595,                0.67821,                0.59432,                0.45432,                0.98539,                 1.6696,                 1.5804,             0.00094602,             0.00094602,             0.00094602
                     47,                 1.0673,                  1.646,                 1.6499,                0.54397,                0.73765,                0.69028,                0.57712,                0.84912,                 1.4374,                 1.5257,             0.00094235,             0.00094235,             0.00094235
                     48,                0.97575,                 1.6283,                 1.5653,                0.55429,                0.68965,                0.65173,                 0.5349,                0.85572,                 1.3586,                  1.478,             0.00093868,             0.00093868,             0.00093868
                     49,                0.96487,                 1.5806,                 1.5453,                0.56457,                0.70489,                0.65494,                0.54908,                0.78964,                 1.3067,                 1.4448,             0.00093502,             0.00093502,             0.00093502
                     50,                 1.0066,                 1.5675,                 1.5701,                0.31485,                0.51301,                0.44652,                0.33969,                 1.0111,                 2.0924,                 1.5963,             0.00093135,             0.00093135,             0.00093135
                     51,                0.99716,                 1.6133,                 1.5239,                 0.5389,                0.70693,                0.61223,                0.49738,                0.87071,                  1.628,                 1.5039,             0.00092769,             0.00092769,             0.00092769
                     52,                 0.9348,                 1.5161,                 1.5169,                0.49275,                0.66588,                 0.5994,                0.47138,                0.87632,                 1.4615,                 1.4766,             0.00092402,             0.00092402,             0.00092402
                     53,                 1.0008,                 1.5732,                 1.5868,                0.54241,                0.76395,                0.62801,                0.51528,                0.79903,                 1.3464,                 1.4293,             0.00092035,             0.00092035,             0.00092035
                     54,                0.98542,                 1.4966,                 1.5528,                0.48342,                 0.7614,                0.65868,                0.54525,                0.80482,                  1.317,                 1.3784,             0.00091669,             0.00091669,             0.00091669
