                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1612,                 4.8393,                 4.7427,                0.00061,                  0.125,                0.00061,                0.00019,                 2.6846,                 4.4195,                 4.1569,                0.00015,                0.00015,                0.00015
                      2,                 3.0545,                 4.4385,                 4.3137,                0.00061,                  0.125,                0.00054,                0.00017,                  2.683,                 4.4301,                 4.1567,             0.00031147,             0.00031147,             0.00031147
                      3,                 3.0967,                 4.0487,                 4.0959,                0.00063,                  0.125,                 0.0006,                0.00018,                 2.6899,                 4.4606,                  4.172,             0.00047187,             0.00047187,             0.00047187
                      4,                 3.0297,                  3.766,                 3.9025,                0.00059,                  0.125,                0.00049,                0.00017,                 2.7052,                 4.4494,                 4.2199,             0.00063119,             0.00063119,             0.00063119
                      5,                  2.943,                 3.5001,                 3.7656,                0.00073,                   0.15,                0.00058,                0.00016,                 2.6888,                 4.4932,                 4.2578,             0.00078944,             0.00078944,             0.00078944
                      6,                 2.8733,                  3.355,                 3.6104,                0.00051,                  0.075,                0.00034,                0.00013,                 2.6722,                 4.3282,                 4.3249,             0.00094662,             0.00094662,             0.00094662
                      7,                 2.7006,                 3.2685,                 3.4299,                0.00077,                   0.15,                 0.0006,                0.00021,                 2.6696,                 4.2898,                 4.2718,              0.0011027,              0.0011027,              0.0011027
                      8,                 2.5238,                 3.1114,                 3.2741,                0.03909,                  0.275,                0.03927,                0.01664,                 2.4368,                  10.07,                 3.6331,              0.0012211,              0.0012211,              0.0012211
                      9,                 2.4544,                 3.1466,                 3.1679,                 0.0191,                  0.525,                0.02796,                0.00987,                 2.3019,                 102.09,                 4.2627,               0.001217,               0.001217,               0.001217
                     10,                 2.4609,                  3.014,                 3.0391,                0.35699,                   0.45,                0.08841,                0.03405,                 2.2526,                 62.259,                 3.8047,              0.0012129,              0.0012129,              0.0012129
                     11,                 2.2432,                 2.8367,                 2.8821,                0.20419,                  0.475,                0.23557,                0.08847,                 2.0487,                 3.5848,                 2.9259,              0.0012087,              0.0012087,              0.0012087
                     12,                 2.1695,                 2.7841,                 2.7983,                0.06586,                    0.8,                0.15048,                0.07293,                 2.0081,                 19.258,                  3.135,              0.0012046,              0.0012046,              0.0012046
                     13,                 2.1473,                 2.8046,                 2.7495,                0.71641,                   0.25,                0.37113,                0.19791,                 1.7428,                 5.1911,                 2.4147,              0.0012005,              0.0012005,              0.0012005
                     14,                 2.0169,                 2.6768,                 2.6577,                0.18213,                    0.3,                0.24851,                0.08345,                 2.3294,                 3.3533,                 3.2704,              0.0011964,              0.0011964,              0.0011964
                     15,                 1.9703,                 2.5649,                 2.5806,                0.27113,                0.53794,                0.38325,                 0.2155,                 1.5622,                 2.5993,                 2.3977,              0.0011922,              0.0011922,              0.0011922
                     16,                 1.8745,                 2.4955,                 2.4972,                0.32836,                    0.5,                0.43661,                0.25865,                 1.6342,                 4.5923,                  2.323,              0.0011881,              0.0011881,              0.0011881
                     17,                 1.7875,                 2.4452,                 2.4158,                0.37623,                0.59442,                0.43676,                0.28766,                 1.2994,                 2.3461,                 2.1144,               0.001184,               0.001184,               0.001184
                     18,                 1.7831,                 2.3994,                 2.3822,                0.30933,                  0.475,                0.42847,                0.25584,                  1.424,                 2.1357,                 2.2215,              0.0011799,              0.0011799,              0.0011799
                     19,                 1.7155,                 2.3456,                 2.3797,                0.25014,                0.51601,                0.38173,                0.22782,                  1.284,                  2.384,                 2.0735,              0.0011757,              0.0011757,              0.0011757
                     20,                  1.656,                 2.2998,                  2.272,                0.70617,                0.39883,                 0.4024,                 0.2016,                 1.5202,                 2.5262,                  2.215,              0.0011716,              0.0011716,              0.0011716
                     21,                 1.6507,                 2.2051,                 2.2769,                0.27506,                  0.675,                0.48426,                0.27895,                  1.378,                 2.0555,                 2.0654,              0.0011675,              0.0011675,              0.0011675
                     22,                 1.6027,                 2.1628,                  2.236,                0.66729,                    0.4,                0.51024,                0.28619,                 1.4445,                 1.9104,                 2.1096,              0.0011634,              0.0011634,              0.0011634
                     23,                 1.5653,                 2.1897,                 2.1856,                0.30069,                   0.65,                0.38067,                0.25257,                  1.202,                  2.013,                 1.8617,              0.0011593,              0.0011593,              0.0011593
                     24,                 1.5257,                  2.173,                  2.148,                0.35519,                0.87013,                 0.5571,                0.38766,                0.99789,                 1.9444,                 1.7327,              0.0011551,              0.0011551,              0.0011551
                     25,                 1.4486,                 2.1329,                 2.0729,                 0.3332,                0.67993,                0.44025,                 0.2943,                 1.2683,                 2.2502,                 1.9129,               0.001151,               0.001151,               0.001151
                     26,                 1.4462,                 2.1032,                 2.0558,                 0.3614,                0.63179,                0.44703,                 0.2943,                 1.1628,                 1.8588,                  1.842,              0.0011469,              0.0011469,              0.0011469
                     27,                 1.4091,                 1.9896,                 1.9758,                 0.4032,                0.61924,                0.47629,                0.30346,                 1.1962,                 1.9088,                 1.7726,              0.0011428,              0.0011428,              0.0011428
                     28,                 1.4057,                 2.0561,                  2.012,                0.36474,                0.82188,                0.46289,                0.30312,                 1.0549,                 1.8094,                 1.6338,              0.0011386,              0.0011386,              0.0011386
                     29,                 1.3515,                 2.0185,                 1.9645,                0.44471,                0.65508,                0.54458,                0.39385,                0.92006,                 1.5776,                 1.6119,              0.0011345,              0.0011345,              0.0011345
                     30,                 1.3191,                 1.9169,                 1.9497,                0.33239,                0.69591,                0.50243,                0.37821,                0.89879,                 1.6748,                 1.6316,              0.0011304,              0.0011304,              0.0011304
                     31,                 1.3167,                 1.9433,                 1.9027,                0.32778,                0.79342,                 0.4633,                0.33708,                0.89421,                 1.9554,                 1.5563,              0.0011263,              0.0011263,              0.0011263
                     32,                 1.3358,                 1.9478,                 1.9207,                0.37809,                0.67976,                0.52887,                0.36359,                 1.0015,                 2.0541,                 1.6241,              0.0011221,              0.0011221,              0.0011221
                     33,                 1.3113,                 1.8749,                 1.8562,                 0.4004,                0.82433,                0.54183,                0.39746,                0.99852,                 1.5669,                 1.5899,               0.001118,               0.001118,               0.001118
                     34,                 1.2284,                 1.8581,                 1.8254,                0.38947,                   0.85,                0.49783,                0.38089,                0.82766,                 1.6785,                 1.4868,              0.0011139,              0.0011139,              0.0011139
                     35,                 1.2323,                 1.8447,                 1.8126,                0.37618,                0.77756,                0.55315,                0.37705,                 1.0219,                 1.8301,                 1.6252,              0.0011098,              0.0011098,              0.0011098
                     36,                 1.1531,                 1.7529,                 1.7633,                0.56101,                0.67182,                0.57646,                0.44338,                 0.7782,                 1.4088,                 1.4643,              0.0011056,              0.0011056,              0.0011056
                     37,                 1.1651,                 1.7621,                 1.7433,                0.46871,                0.72819,                0.56309,                0.42896,                0.70491,                 1.4306,                 1.3749,              0.0011015,              0.0011015,              0.0011015
                     38,                 1.1792,                  1.768,                 1.7696,                0.45015,                0.68488,                0.56919,                0.44728,                0.79737,                   1.53,                 1.4293,              0.0010974,              0.0010974,              0.0010974
                     39,                 1.2495,                 1.7566,                 1.8313,                0.46799,                0.75243,                0.60764,                0.46353,                0.79727,                 1.5485,                 1.4148,              0.0010933,              0.0010933,              0.0010933
                     40,                 1.1781,                 1.6828,                 1.7407,                0.37796,                 0.7657,                0.52964,                0.41693,                0.70396,                  1.634,                 1.3949,              0.0010891,              0.0010891,              0.0010891
                     41,                 1.1615,                 1.6822,                 1.6849,                0.53866,                0.64619,                0.52536,                0.39166,                0.86583,                 1.4492,                 1.4469,               0.001085,               0.001085,               0.001085
                     42,                 1.0763,                 1.6883,                 1.6528,                0.40342,                0.84868,                0.54069,                0.44643,                0.70248,                 1.5298,                 1.2885,              0.0010809,              0.0010809,              0.0010809
                     43,                 1.1345,                 1.6622,                 1.7192,                0.48422,                0.86411,                0.71133,                0.52549,                0.77379,                 1.3403,                 1.3788,              0.0010768,              0.0010768,              0.0010768
                     44,                 1.1075,                 1.6314,                 1.6642,                0.36764,                0.92899,                 0.5846,                0.48852,                0.61967,                 1.5058,                 1.2682,              0.0010726,              0.0010726,              0.0010726
                     45,                  1.113,                 1.6104,                 1.6609,                0.45408,                  0.625,                 0.5206,                0.43019,                 0.7031,                 2.2281,                 1.3142,              0.0010685,              0.0010685,              0.0010685
                     46,                 1.1265,                 1.5918,                 1.6784,                0.48063,                0.73613,                0.61268,                0.50183,                0.71215,                 1.4117,                 1.3174,              0.0010644,              0.0010644,              0.0010644
                     47,                 1.1548,                 1.5951,                 1.7078,                0.40004,                  0.875,                0.63317,                0.47216,                0.86235,                 1.4291,                 1.3952,              0.0010603,              0.0010603,              0.0010603
                     48,                 1.1374,                  1.592,                 1.7131,                0.44252,                0.88562,                0.68552,                 0.5241,                0.83165,                 1.4187,                 1.3929,              0.0010561,              0.0010561,              0.0010561
                     49,                 1.1075,                  1.597,                  1.686,                0.48897,                0.81681,                0.72077,                0.58431,                0.78276,                  1.272,                 1.3795,               0.001052,               0.001052,               0.001052
                     50,                   1.07,                 1.5016,                 1.6188,                0.50717,                0.86857,                0.67872,                0.50485,                0.90988,                 1.4206,                 1.5058,              0.0010479,              0.0010479,              0.0010479
                     51,                 1.0459,                 1.5142,                 1.6297,                0.55644,                0.80902,                0.70825,                0.57246,                0.65419,                 1.4218,                 1.2873,              0.0010438,              0.0010438,              0.0010438
                     52,                0.99654,                 1.4912,                 1.5994,                0.57396,                0.79325,                0.77538,                0.65692,                0.62825,                 1.1283,                 1.2616,              0.0010396,              0.0010396,              0.0010396
                     53,                 1.0381,                 1.5383,                  1.605,                0.60762,                0.63838,                0.69471,                0.56573,                0.65676,                 1.3092,                 1.3036,              0.0010355,              0.0010355,              0.0010355
                     54,                0.98373,                 1.4964,                 1.5773,                0.42878,                0.91421,                0.67322,                0.59158,                0.53817,                 1.2301,                 1.2108,              0.0010314,              0.0010314,              0.0010314
                     55,                 1.1177,                  1.559,                 1.6585,                0.63031,                0.68072,                0.77602,                0.68262,                0.54006,                 1.0633,                 1.1975,              0.0010273,              0.0010273,              0.0010273
                     56,                0.99058,                 1.4339,                 1.5373,                 0.5049,                0.91368,                0.71627,                0.60867,                0.59592,                 1.2812,                 1.2357,              0.0010231,              0.0010231,              0.0010231
                     57,                 1.0008,                 1.4644,                 1.5846,                0.53529,                0.89854,                0.72054,                0.62508,                0.53389,                 1.3153,                 1.1754,               0.001019,               0.001019,               0.001019
                     58,                 1.0197,                  1.468,                 1.5856,                0.59572,                0.75634,                0.78686,                0.63111,                0.76146,                 1.1236,                 1.2534,              0.0010149,              0.0010149,              0.0010149
                     59,                0.98622,                 1.4439,                  1.519,                0.53682,                0.92734,                 0.7918,                0.63012,                0.72059,                 1.0368,                 1.2919,              0.0010107,              0.0010107,              0.0010107
                     60,                 1.0845,                  1.423,                 1.5738,                0.51773,                0.80198,                 0.7332,                0.60791,                 0.7492,                 1.2477,                 1.3211,              0.0010066,              0.0010066,              0.0010066
                     61,                 1.0024,                 1.3932,                 1.5769,                0.65544,                   0.75,                0.82858,                0.69717,                0.65084,                 1.2651,                 1.2566,              0.0010025,              0.0010025,              0.0010025
                     62,                0.95066,                 1.3439,                 1.4865,                0.52144,                 0.9091,                0.81342,                0.68475,                0.70109,                 1.1311,                  1.266,             0.00099837,             0.00099837,             0.00099837
                     63,                0.97486,                 1.3336,                 1.5047,                0.41798,                 0.8715,                0.72356,                 0.6301,                0.59616,                 1.3174,                 1.2189,             0.00099425,             0.00099425,             0.00099425
                     64,                 1.0206,                 1.3802,                 1.5559,                0.78591,                0.69525,                0.80283,                0.70191,                0.53529,                0.93108,                 1.1338,             0.00099013,             0.00099013,             0.00099013
                     65,                0.94047,                 1.3979,                 1.5137,                0.58548,                0.83765,                0.79359,                0.65467,                0.60642,                 1.1712,                 1.2142,               0.000986,               0.000986,               0.000986
                     66,                0.94349,                 1.2787,                 1.4854,                0.65039,                  0.725,                0.78235,                0.68765,                0.53461,                 1.0826,                 1.1545,             0.00098187,             0.00098187,             0.00098187
                     67,                0.94848,                 1.3238,                 1.5302,                0.71465,                  0.775,                0.82519,                0.70027,                0.61029,                 1.0061,                 1.2011,             0.00097775,             0.00097775,             0.00097775
                     68,                0.95172,                 1.3182,                 1.4908,                0.55527,                0.82085,                0.72627,                0.61166,                0.53388,                 1.2644,                 1.1273,             0.00097362,             0.00097362,             0.00097362
                     69,                0.93915,                 1.3444,                  1.467,                0.62217,                0.62149,                0.65998,                0.55097,                 0.5919,                 1.5821,                 1.1846,              0.0009695,              0.0009695,              0.0009695
                     70,                0.93661,                 1.2844,                 1.5069,                0.62736,                0.89696,                0.78198,                0.67982,                0.51792,                0.99336,                 1.1431,             0.00096537,             0.00096537,             0.00096537
                     71,                0.96906,                 1.3362,                 1.5248,                0.75077,                0.75778,                 0.7818,                0.64658,                0.62471,                  1.174,                 1.2394,             0.00096125,             0.00096125,             0.00096125
                     72,                0.94573,                 1.3122,                 1.4883,                0.63197,                   0.85,                 0.7948,                0.68194,                0.59222,                0.98501,                 1.1855,             0.00095712,             0.00095712,             0.00095712
                     73,                0.89624,                 1.2978,                 1.4452,                0.58862,                0.85468,                0.77049,                0.66531,                0.55832,                 0.9602,                 1.1374,               0.000953,               0.000953,               0.000953
                     74,                  0.893,                 1.2321,                 1.4481,                0.64853,                0.66837,                0.77191,                 0.6744,                0.51424,                 1.0796,                 1.1425,             0.00094887,             0.00094887,             0.00094887
                     75,                0.89061,                 1.2868,                 1.4435,                 0.4751,                0.70994,                 0.5995,                0.51701,                0.53076,                 2.1555,                 1.1636,             0.00094475,             0.00094475,             0.00094475
                     76,                0.90401,                 1.3106,                 1.4676,                0.40971,                   0.85,                0.70043,                0.56171,                0.75836,                  1.582,                 1.2802,             0.00094062,             0.00094062,             0.00094062
                     77,                0.89819,                 1.2423,                 1.4385,                0.45871,                  0.875,                0.70776,                0.60899,                0.63504,                 1.4519,                 1.1734,              0.0009365,              0.0009365,              0.0009365
                     78,                0.91398,                 1.2593,                 1.4707,                0.80195,                0.70686,                0.81117,                0.69801,                0.49664,                0.96731,                 1.0996,             0.00093238,             0.00093238,             0.00093238
                     79,                0.90661,                 1.2708,                 1.4644,                0.49354,                0.89703,                0.76927,                0.67077,                0.53181,                 1.2057,                 1.1163,             0.00092825,             0.00092825,             0.00092825
                     80,                0.89158,                 1.2928,                  1.452,                0.64191,                0.72783,                0.75512,                0.68247,                0.46513,                0.98311,                 1.0708,             0.00092413,             0.00092413,             0.00092413
                     81,                0.83546,                 1.2095,                 1.3999,                0.87862,                0.54602,                0.74981,                0.66356,                0.52664,                  1.165,                 1.1118,                0.00092,                0.00092,                0.00092
                     82,                0.91309,                 1.1605,                 1.4278,                0.63371,                 0.6596,                0.78132,                0.69313,                0.49043,                 1.2539,                 1.0843,             0.00091588,             0.00091588,             0.00091588
                     83,                0.85008,                 1.1909,                 1.4158,                0.50233,                 0.7562,                0.74203,                0.65524,                0.49576,                 1.1079,                 1.0788,             0.00091175,             0.00091175,             0.00091175
                     84,                0.89332,                  1.194,                 1.4378,                0.72909,                0.76515,                0.76794,                0.66755,                 0.5133,                0.95993,                 1.1335,             0.00090763,             0.00090763,             0.00090763
                     85,                 0.8622,                 1.1769,                 1.4377,                0.71834,                0.71666,                0.77739,                0.66605,                0.60372,                0.96873,                  1.136,              0.0009035,              0.0009035,              0.0009035
                     86,                0.80355,                 1.1561,                 1.3805,                0.65371,                0.71322,                0.74358,                0.64533,                0.54052,                 1.0799,                 1.1287,             0.00089938,             0.00089938,             0.00089938
                     87,                0.85884,                 1.2359,                 1.4182,                0.71828,                0.77416,                0.79805,                0.70983,                0.50533,                0.84889,                    1.1,             0.00089525,             0.00089525,             0.00089525
                     88,                0.84243,                 1.2206,                 1.3689,                0.73052,                0.63727,                0.79067,                0.71105,                0.45996,                 1.1004,                 1.0655,             0.00089112,             0.00089112,             0.00089112
                     89,                 0.8058,                 1.1731,                 1.3968,                0.62913,                0.80079,                0.79792,                0.72468,                0.46129,                0.91639,                 1.0433,               0.000887,               0.000887,               0.000887
                     90,                0.89539,                 1.2094,                 1.4169,                 0.6282,                0.93257,                0.82427,                0.74927,                0.39587,                0.87025,                 1.0059,             0.00088288,             0.00088288,             0.00088288
                     91,                0.84176,                 1.1715,                 1.3993,                0.65609,                0.83722,                0.72984,                0.63679,                 0.4631,                 1.3515,                 1.0428,             0.00087875,             0.00087875,             0.00087875
                     92,                0.82856,                 1.1462,                 1.3826,                0.50536,                  0.875,                0.83614,                0.72392,                0.52771,                 1.0098,                 1.0995,             0.00087462,             0.00087462,             0.00087462
                     93,                0.80029,                  1.109,                 1.3505,                0.75158,                0.85455,                0.87612,                0.79857,                0.44629,                0.77283,                 1.0475,              0.0008705,              0.0008705,              0.0008705
                     94,                0.83408,                 1.0979,                 1.3766,                0.79569,                0.67344,                0.84316,                0.75804,                0.48262,                0.97193,                 1.0668,             0.00086637,             0.00086637,             0.00086637
                     95,                0.82909,                 1.0958,                 1.3668,                0.66356,                0.98624,                0.86702,                0.77173,                0.46721,                0.82751,                 1.0544,             0.00086225,             0.00086225,             0.00086225
                     96,                0.80287,                 1.0915,                 1.3517,                0.70827,                0.82824,                0.87823,                0.75767,                0.54058,                 1.2001,                  1.111,             0.00085813,             0.00085813,             0.00085813
                     97,                0.82562,                 1.1188,                 1.3852,                0.52482,                0.87891,                0.71184,                0.62333,                0.53016,                 1.3818,                 1.0724,               0.000854,               0.000854,               0.000854
                     98,                0.85907,                 1.1404,                  1.388,                0.68432,                0.69487,                0.63974,                0.56884,                0.48806,                 1.7711,                 1.0566,             0.00084988,             0.00084988,             0.00084988
                     99,                0.80946,                   1.07,                 1.3406,                 0.6367,                0.91608,                0.82751,                 0.7585,                0.41236,                0.91754,                 1.0345,             0.00084575,             0.00084575,             0.00084575
                    100,                 0.8215,                 1.1323,                 1.4139,                0.78397,                0.92332,                0.84513,                0.76162,                 0.4105,                0.77662,                 1.0174,             0.00084162,             0.00084162,             0.00084162
                    101,                0.78109,                 1.0871,                 1.3374,                 0.8469,                    0.6,                0.77184,                0.69301,                0.44645,                 1.1584,                 1.0395,              0.0008375,              0.0008375,              0.0008375
                    102,                0.85772,                 1.1204,                 1.3937,                0.70505,                0.81054,                0.84853,                0.77409,                0.40187,                0.86012,                 1.0133,             0.00083337,             0.00083337,             0.00083337
                    103,                0.81315,                 1.0448,                 1.3117,                0.68818,                 0.8928,                0.90523,                0.80193,                0.50198,                0.90218,                 1.0501,             0.00082925,             0.00082925,             0.00082925
                    104,                0.77118,                 1.0952,                 1.3188,                0.53162,                 0.7674,                0.80806,                0.74249,                0.43074,                 1.1064,                 1.0247,             0.00082513,             0.00082513,             0.00082513
                    105,                  0.778,                 1.0151,                 1.3209,                 0.5874,                   0.75,                0.78459,                0.70453,                0.50967,                 1.2183,                 1.0501,               0.000821,               0.000821,               0.000821
                    106,                0.79135,                 1.0905,                 1.3502,                0.59692,                0.78296,                0.83045,                 0.7788,                0.38567,                0.97521,                0.99321,             0.00081688,             0.00081688,             0.00081688
                    107,                0.76903,                 1.0201,                 1.2938,                0.87941,                0.67834,                0.88663,                0.79692,                0.48347,                0.78983,                 1.0615,             0.00081275,             0.00081275,             0.00081275
                    108,                0.77134,                 1.0123,                 1.3425,                0.68466,                0.83539,                 0.8547,                0.75763,                0.53324,                0.82684,                 1.0494,             0.00080863,             0.00080863,             0.00080863
                    109,                0.81749,                 1.0426,                  1.314,                0.82778,                0.81403,                0.84245,                  0.761,                0.47017,                0.82883,                 1.0479,              0.0008045,              0.0008045,              0.0008045
                    110,                0.77937,                 1.0274,                 1.3351,                0.76662,                0.84007,                0.87196,                0.81941,                0.40376,                0.77749,                 1.0057,             0.00080038,             0.00080038,             0.00080038
                    111,                0.74836,                0.97313,                 1.3293,                0.60942,                0.91594,                0.85121,                0.78682,                0.38123,                0.92478,                 1.0063,             0.00079625,             0.00079625,             0.00079625
                    112,                0.71729,                 1.0555,                 1.3156,                0.84319,                0.74834,                0.82934,                0.77361,                0.38854,                0.90285,                0.97512,             0.00079213,             0.00079213,             0.00079213
                    113,                0.71987,                 1.0034,                 1.2928,                0.78666,                  0.725,                0.85839,                 0.7767,                0.43818,                0.84648,                 1.0228,               0.000788,               0.000788,               0.000788
                    114,                0.77341,                 1.0095,                 1.3187,                0.76277,                0.87888,                0.86249,                0.79243,                0.38463,                0.78072,                 1.0085,             0.00078387,             0.00078387,             0.00078387
                    115,                0.73294,                0.96499,                 1.2849,                0.80592,                  0.871,                0.85137,                0.77702,                 0.3775,                0.81682,                0.99279,             0.00077975,             0.00077975,             0.00077975
                    116,                0.75394,                0.96841,                 1.3324,                0.79406,                0.70314,                 0.8362,                0.75724,                0.47684,                 1.0664,                 1.0278,             0.00077563,             0.00077563,             0.00077563
                    117,                 0.7937,                 1.0618,                 1.3581,                0.74777,                0.70979,                0.76781,                0.68734,                0.47468,                 1.3093,                 1.0308,              0.0007715,              0.0007715,              0.0007715
                    118,                0.80989,                 1.0657,                 1.3664,                0.75092,                0.67377,                0.81461,                0.75978,                 0.4108,                 1.2204,                0.98461,             0.00076738,             0.00076738,             0.00076738
                    119,                0.75987,                 1.0251,                 1.3211,                 0.7633,                0.64201,                0.78234,                  0.702,                0.42633,                 1.3164,                 1.0001,             0.00076325,             0.00076325,             0.00076325
                    120,                0.79425,                 1.0013,                 1.3487,                0.73236,                0.81634,                 0.8684,                0.77753,                0.43709,                0.84237,                   1.01,             0.00075912,             0.00075912,             0.00075912
                    121,                0.78199,                 1.0224,                 1.3362,                0.78675,                0.74298,                 0.8276,                0.77218,                 0.3536,                 1.0543,                0.97328,               0.000755,               0.000755,               0.000755
                    122,                 0.7109,                0.96566,                 1.3224,                0.81546,                0.83052,                0.88912,                0.81174,                0.39466,                0.73014,                0.98942,             0.00075088,             0.00075088,             0.00075088
                    123,                0.71105,                0.96329,                 1.3145,                0.81892,                0.91085,                 0.8711,                0.80758,                0.37358,                0.66209,                0.96133,             0.00074675,             0.00074675,             0.00074675
                    124,                0.70246,                0.99081,                 1.2791,                0.77969,                0.71879,                0.83616,                 0.7878,                0.37394,                0.96266,                0.97649,             0.00074263,             0.00074263,             0.00074263
                    125,                0.70189,                0.95463,                 1.2907,                0.72952,                0.80579,                0.86314,                0.80475,                0.35108,                0.77639,                0.97587,              0.0007385,              0.0007385,              0.0007385
                    126,                0.72794,                0.99553,                 1.2704,                 0.4657,                0.81901,                0.69424,                0.64056,                 0.3976,                 1.5064,                0.99348,             0.00073437,             0.00073437,             0.00073437
                    127,                0.76267,                 1.0012,                 1.3112,                0.64007,                0.85618,                0.83155,                 0.7535,                0.42572,                 1.1922,                 1.0028,             0.00073025,             0.00073025,             0.00073025
                    128,                0.75932,                 1.0019,                 1.3364,                0.69574,                  0.825,                0.81701,                0.75299,                0.38852,                 1.1026,                0.98007,             0.00072612,             0.00072612,             0.00072612
                    129,                0.74378,                0.96066,                 1.2979,                0.75849,                0.70398,                0.82545,                0.74929,                0.43188,                   1.01,                 1.0136,               0.000722,               0.000722,               0.000722
                    130,                0.71182,                0.92084,                 1.2488,                0.74787,                0.71731,                0.80244,                0.73517,                0.40278,                 1.0879,                0.97917,             0.00071788,             0.00071788,             0.00071788
                    131,                0.75594,                0.94798,                 1.2909,                0.61555,                0.78505,                0.76678,                0.70157,                0.38709,                 1.1198,                0.97923,             0.00071375,             0.00071375,             0.00071375
